AVG RESPONSE TIME,STD DEV,COST,ACTIVE SERVERS
2.0204867959796444,2.0157376824231616,108.88054548900463,8
2.0102725612508507,2.000136664897057,110.40638047732843,8
1.9941337807062913,1.9892547893288999,116.0516573183802,9
2.00394599114705,2.000097419390051,110.53736456973104,8
1.995471622432016,1.9779903608052485,111.08306242913828,8
2.0010123343342276,1.989484620269234,111.89217208870356,8
2.007076282549993,1.9790454484718438,109.29197578606346,8
2.020325127841958,2.0071099915891826,115.9775406759118,9
1.993868705229438,1.9820752038913072,109.20238060180492,8
2.000982519204898,1.9787083578355407,110.8737886932555,8
2.009645875958187,2.004711529232621,110.40771791110306,8
2.026687577481226,2.005431594944678,109.3327619001545,8
2.0279635433250105,2.0285292886407538,110.58980068018434,8
2.014873379791596,2.0001805680803098,108.34214106753569,8
1.991677761279094,1.9812673352095402,110.08117031586404,8
2.0296931675607475,2.021140711179106,110.6324683005234,8
1.9975351257333778,1.9867288633360751,110.26516572816077,8
2.007342883243115,2.0068097406255525,111.25813713809981,8
2.010493436485228,1.9884212856551475,118.64312065298357,9
1.9932082050936035,1.997270874542827,109.87080334506544,8
1.993518747142558,1.9807514555817276,110.59409077351225,8
2.0218491201191884,2.0077560478056493,110.55146053454604,8
2.000974580026628,1.9970715956531035,120.04431341610488,9
1.991437930507351,1.9878802004746416,110.59783348099384,8
2.003926356254663,1.9873659954636997,110.38346622271142,8
2.011224805777486,2.0123390389554103,112.826387232992,9
2.0069517661139256,2.0044344924032256,110.36820433734457,8
2.0107680477815255,2.0013506091386666,113.64142976718975,9
1.998287860299406,1.9914698972043405,109.96964227799896,8
2.0934405304403936,2.0596823452624116,109.00650397800472,8
