AVG RESPONSE TIME,STD DEV,COST,ACTIVE SERVERS
2.3053875161205157,2.379962817065095,158.15035971061548,18
2.3257238015019595,2.545810857396581,158.3343850447175,18
2.45262627619826,2.4940635430348457,157.49476893590088,18
2.386722798724032,2.507473903075065,157.6697292592344,18
2.2481541208999154,2.308866981988003,158.2157078352659,18
2.319157145141478,2.382811715696543,157.7001399232796,18
2.275316119828823,2.2928379448468843,157.21703440557718,18
2.2853806396239595,2.2412143206193633,156.7270094640458,18
2.314490189527956,2.378839426911393,157.5554384382061,18
2.347088813267313,2.4418742268419242,157.59693946576476,18
2.371855329981674,2.4436765786973162,157.69827772821282,18
2.3466239057512652,2.4685963613048263,157.21538685183216,18
2.6233019887012303,2.9548023072163985,156.87778498965326,18
2.374047089534838,2.651016536716826,157.88509764851642,18
2.417892291303944,2.5084472612433326,155.91385600057953,18
2.5028555772111165,2.7467855117273143,158.02320339491325,18
2.537232484496457,2.7582687239212325,157.97452943304341,18
2.2265848715553442,2.1961638937562697,157.16985477224762,18
2.239185491144278,2.2215945377853004,158.98254283777652,18
2.2669654379970154,2.2283056378866637,158.16192452963458,18
2.3506046784120045,2.4869489932303854,157.06206735804383,18
2.2229330859132896,2.176882661383919,157.83854834314639,18
2.340315192547473,2.356690740003735,157.28522958376914,18
2.341648618243156,2.5270887374478885,156.148191629953,18
2.301154971645637,2.3440074313965207,158.12404389053847,18
2.4326191761558644,2.6315379762674347,158.26791559872584,18
2.238453933999528,2.305359555282632,159.6085794255201,18
2.39872799016736,2.6388485173926948,158.6453716999138,18
2.4572461427923784,2.636923486525559,157.1771604463039,18
2.3019976850876684,2.357807452490347,156.71125734777914,18
