AVG RESPONSE TIME,STD DEV,COST,ACTIVE SERVERS
2.3794213408342304,2.465271251847741,157.42248077378602,18
2.358959673642259,2.420889532272353,158.78757406260448,18
2.3541054817935407,2.375426918064014,156.880110032036,18
2.470998895112625,2.6361033701766874,157.0454423660558,18
2.286420639929471,2.2810384267867594,157.1523986313539,18
2.3501335926271745,2.33742440456977,158.49952389917345,18
2.335602470274964,2.466609359114643,156.97638948873373,18
2.460272516345949,2.659361696402955,157.36443207151262,18
2.337307441851549,2.487345027412245,157.04714416017515,18
2.337937359864265,2.462228258949121,157.99401706934984,18
2.221562721313811,2.216003270655558,156.68751926018217,18
2.1756639379973635,2.0992316893121177,157.95097064903882,18
2.3257578833140298,2.351642662799407,156.81920203334016,18
2.3329218746631426,2.4076480546949646,157.10101628015332,18
2.6670365516407295,3.1313787636466226,156.05614070766492,18
2.2658148363391617,2.248759126231555,157.81576742110005,18
2.482584144054839,2.7816569935246194,157.28776528464266,18
2.347621707965299,2.3985995501209203,158.4957936958564,18
2.3263573281830494,2.347114060482093,157.1713333852572,18
2.239111537463403,2.2845105484507884,159.2665869228506,18
2.2885213857550144,2.236792862847301,157.3728234104658,18
2.281114550273415,2.306271944401142,156.88198669366486,18
2.3348996275312786,2.3548065158553837,158.09231605129773,18
2.3682407826598655,2.5727066228564195,156.67620369272527,18
2.381416305472518,2.4666681244942383,157.23081554997407,18
2.5030225777738764,2.683650432657684,158.1821738733256,18
2.376610341917057,2.4556045308261916,157.3551620720594,18
2.317652565183911,2.3637908185122907,158.80010467634315,18
2.2934163358070263,2.3487862785429057,158.2806648525766,18
2.346096602933175,2.396661322161187,157.78664866183385,18
